zip-code,rebate-usd,lat,lng,median-household-income,mean-household-income,population
74560,100,34.6647455,-95.6668306,34088,44573,644
27534,100,35.3712582,-77.9053182,44367,54233,31894
45742,69,39.2852678,-81.7239979,58168,64059,3155
56292,100,44.5141543,-95.4568133,42102,54223,690
54922,88,44.5336335,-88.7205256,55581,60347,1514
63830,75,36.154119,-89.6816208,31178,40609,7102
68319,100,40.9592573,-97.7634019,53795,71640,668
65653,100,36.7307517,-93.1077277,35974,45560,5708
64423,100,40.1861398,-94.8728093,49303,55550,761
52053,88,42.6057275,-90.9629523,49215,58019,1163
19352,100,39.7561779,-75.8650148,103183,111208,7609
85542,90,33.3074254,-110.1879106,25818,36068,3196
90272,81,34.0845245,-118.5447787,150466,237465,22818
29650,100,34.8920374,-82.269193,66117,82419,32632
28337,100,34.6276267,-78.52065,30702,46630,9461
2332,100,42.0342172,-70.704952,116904,149633,14241
98261,100,48.474591,-122.8990521,52606,67226,2383
38804,100,34.2684438,-88.6819958,41740,60078,17179
37411,90,35.0277196,-85.2256635,38987,48564,17587
89011,100,36.1036262,-114.939821,60941,73753,10127
78015,108,29.7487321,-98.6490584,116640,140246,9602
23507,100,36.8674231,-76.3145188,64396,89663,25818
25414,100,39.2536087,-77.8710285,66819,79998,17024
3237,100,43.4090534,-71.4061876,64219,78346,1878
62836,100,38.0782714,-88.8070886,44959,51957,801
61764,80,40.9097631,-88.5951751,46457,58754,14460
4576,100,43.8189085,-69.664193,46250,74216,681
92841,83,33.7897841,-117.9776173,61207,73120,32845
51521,100,41.4579402,-95.3311652,53375,55793,2036
35803,100,34.6152142,-86.5602614,68549,82328,25471
26812,100,38.9135817,-78.8835548,33058,42177,1705
1770,100,42.2433966,-71.3705616,145250,190251,4245
83672,100,44.3591675,-116.937518,38000,51715,8583
37096,90,35.5912275,-87.8942451,31545,39331,5503
87747,100,36.3371529,-104.3791912,43479,51980,1910
6442,100,41.3437351,-72.4435674,87480,129515,2745
19004,100,40.0131418,-75.2304038,116558,174815,9430
50638,88,42.3401385,-92.797901,54191,59333,3313
66002,100,39.5167357,-95.1640605,43703,55189,13755
85324,60,34.0951738,-111.9999435,34066,44137,2886
35586,100,33.8942404,-88.148657,34846,46536,4469
74084,100,36.5770727,-96.418385,32088,44609,690
88341,100,33.5065029,-105.7233814,42520,52753,519
68973,100,40.4602299,-98.5501283,56667,60422,518
96701,100,21.3871057,-157.9106318,83901,93091,40281
83316,100,42.6233721,-114.8849907,38972,53922,9626
83428,100,43.4188257,-111.1310108,71058,87149,416
13669,60,44.6550526,-75.5041352,39235,48614,17597
12585,55,41.7174068,-73.6948234,82278,99885,774
62928,100,37.4809298,-88.5758574,44000,51360,293
56554,100,46.8750969,-96.1273015,53495,69942,2511
68790,100,42.1510722,-97.1574784,43859,52586,859
54603,88,43.8697353,-91.2794744,26404,32400,9664
56721,100,47.9701627,-96.9408943,53890,61088,9164
6330,100,41.6306615,-72.0823688,69039,75740,3282
50668,88,42.7060255,-92.2039933,61000,75221,1249
52240,88,41.6113703,-91.5015009,42795,53749,32230
70036,100,29.7077584,-90.1588618,45188,59206,1227
48197,83,42.1966292,-83.6135572,51186,59201,53883
98312,88,47.540416,-122.7705164,53554,65031,30203
76252,156,33.6881746,-97.3732655,62791,71677,2863
87122,100,35.1808064,-106.519036,120347,142564,13091
50314,100,41.608982,-93.6268464,29616,36782,12465
